Carrosserie;Code_vehicule;Alimentation;Boite_vitesse;Date_debut_comerc;Date_fin_comerc;Groupe_vehicule;Classe_vehicule;Puissance_vehicule
BERLINE;AU06031;GO;M;1982;1982.0;28;J;7.0
CABRIOLET;AU19298;ES;M;1042008;8122008.0;34;N;10.0
BERLINE;HD22001;ES;M;1032008;4022009.0;27;D;4.0
MONOSPACE;ME53049;ES;A;1062005;17012007.0;34;Q;14.0
BERLINE;BM67421;ES;M;1032011;1032012.0;33;L;7.0
BERLINE;BM25233;ES;M;27032007;1012010.0;38;R;13.0
BERLINE;FO08846;ES;M;15052017;2012018.0;29;G;4.0
BERLINE;BM64103;GO;A;1072014;1072015.0;40;HC;26.0
LIMOUSINE;ME12022;GO;M;1991;1992.0;31;T;9.0
BERLINE;VO15044;ES;M;1995;1996.0;30;J;7.0
BERLINE;PE45042;GO;M;2052011;2012013.0;35;N;9.0
BERLINE;AR25090;GO;M;1102004;5042005.0;32;L;7.0
BERLINE;AU39005;ES;S;6092010;24112014.0;32;L;6.0
BERLINE;AU19816;GO;S;31072014;4122014.0;34;N;8.0
COUPE;BM67188;ES;A;1092010;1072013.0;39;S;21.0
BERLINE;BM59558;GO;A;18032008;16092008.0;37;R;14.0
BERLINE;PE34020;GO;M;22042004;5062006.0;32;L;6.0
BERLINE;VW48105;ES;S;6022015;1072016.0;27;E;3.0
BERLINE;SE02913;GO;M;29042013;23042014.0;30;I;5.0
BERLINE;BM27021;ES;A;17072000;1092001.0;39;R;16.0
BERLINE;AU15579;GO;V;1022005;1022005.0;33;P;8.0
BERLINE;MZ17074;ES;A;1990;1991.0;30;I;8.0
BERLINE;VW11098;ES;M;1989;1989.0;30;G;7.0
LUDOSPACE;PE29128;GO;M;3102005;3102005.0;27;H;5.0
CABRIOLET;BM59594;GO;M;18032008;26032009.0;38;S;14.0
MONOSPACE;KA18011;GO;M;16012010;1052010.0;29;J;5.0
BERLINE;BM70A13;ES;M;1042018;1102018.0;36;P;
CABRIOLET;AU19450;GO;M;7122009;6122010.0;33;Q;7.0
BERLINE;SE12235;ES;M;4102013;23042014.0;33;K;7.0
BERLINE;BM49016;GO;A;17072000;17072000.0;35;P;12.0
BERLINE;VW30090;ES;M;1112001;1082002.0;36;O;14.0
BERLINE;SE02197;GO;M;1996;1997.0;29;G;6.0
PICK-UP;SG02029;GO;M;1122004;28092006.0;31;L;12.0
BERLINE;VW04104;ES;M;1984;1986.0;27;D;6.0
BERLINE;HO03139;ES;M;1092001;1092005.0;30;H;6.0
LUDOSPACE;OP29008;GO;M;1032002;5052003.0;28;I;5.0
BERLINE;BM66142;GO;M;1092010;1072013.0;36;R;10.0
FOURGONNETTE;VW22037;GO;M;1993;1996.0;28;H;8.0
MONOSPACE;FI49076;GO;M;1062015;1092017.0;30;K;5.0
BERLINE;TO34154;GO;M;2012015;1102015.0;32;L;6.0
BERLINE;HO04010;ES;M;1991;1991.0;31;H;8.0
BERLINE;FO45021;GO;M;1102014;15072015.0;32;M;5.0
MONOSPACE;ME46090;GO;A;2102014;;35;S;11.0
BERLINE;TO39069;GO;M;3022015;1122017.0;29;H;4.0
BERLINE;MN01524;ES;A;1072016;1022018.0;33;L;7.0
BERLINE;OP16424;GO;M;8032004;8032004.0;35;N;11.0
BERLINE;VO14038;ES;M;1995;1996.0;31;L;
BERLINE;VO25023;ES;A;1998;1998.0;32;N;9.0
BERLINE;BM21071;GO;A;1997;1997.0;32;O;7.0
BERLINE;AU49244;ES;S;31072018;;36;N;10.0
BERLINE;CI42177;GO;M;22022006;2052008.0;35;O;10.0
BERLINE;AU28131;ES;M;2012008;24042008.0;34;M;9.0
MONOSPACE;RE81288;GO;M;1122011;4092013.0;31;M;6.0
BERLINE;VO33267;GO;A;8042011;26032014.0;36;R;13.0
BERLINE;VW11215;ES;M;1994;1996.0;36;N;14.0
LUDOSPACE;PE29036;GO;M;3092001;26092002.0;29;J;6.0
BERLINE;CI28044;GO;M;1993;1994.0;32;Q;6.0
MONOSPACE;CI70123;ES;A;3092018;;34;N;10.0
BERLINE;RE88158;ES;M;2052018;;29;G;4.0
BERLINE;LX01017;GO;M;16012006;14122006.0;35;O;10.0
BERLINE;JA15032;GO;A;1082012;2092013.0;36;T;11.0
AUTRE;ME51044;GO;A;20032008;1092008.0;36;S;
MONOSPACE;VW50002;ES;M;13032014;1012018.0;32;L;7.0
BERLINE;DS02013;GO;M;1102015;1062018.0;31;N;6.0
BERLINE;FO08300;ES;M;1995;1995.0;27;E;6.0
MONOSPACE;RE53290;GO;M;1999;1999.0;30;K;6.0
BERLINE;MN01685;GO;A;1022018;16052018.0;32;L;6.0
BERLINE;AU39357;GO;S;29032018;;30;J;5.0
BERLINE;VO33115;ES;M;26042004;3122007.0;36;O;13.0
PICK-UP;TO11037;GO;M;4082010;21022017.0;33;M;8.0
BERLINE;CI46046;ES;M;20102006;19022007.0;32;H;7.0
MONOSPACE;FO38006;GO;M;3092012;1092017.0;28;J;4.0
BERLINE;RE66090;ES;A;1102003;1092004.0;32;K;9.0
BERLINE;BM70935;ES;A;1062017;1042018.0;36;Q;10.0
BERLINE;OP17104;ES;M;1996;1996.0;30;H;7.0
BERLINE;VO32206;GO;A;4052010;8042011.0;36;Q;12.0
BERLINE;SK06448;GO;S;4032013;1052015.0;34;M;8.0
MONOSPACE;VW34139;ES;M;1082006;1082006.0;33;L;8.0
CABRIOLET;BM71330;ES;A;1032016;1032017.0;36;R;10.0
BERLINE;FO14034;ES;A;1980;1982.0;29;F;9.0
BERLINE;VW35255;GO;M;26042007;1092008.0;33;M;7.0
LUDOSPACE;VW01103;GO;M;4062010;28072010.0;31;J;6.0
BERLINE;PE47010;GO;M;26032012;29062015.0;28;G;4.0
BERLINE;FO08539;GO;S;2052007;1062008.0;28;H;4.0
BERLINE;MN01765;ES;M;1022018;;36;L;11.0
BERLINE;SK06648;ES;M;2052016;;32;J;6.0
BERLINE;PE32186;GO;M;3052004;3052004.0;31;K;6.0
CABRIOLET;CI45012;GO;M;28092006;23122006.0;28;J;4.0
BERLINE;RE73001;ES;M;15062007;2102008.0;27;B;4.0
LIMOUSINE;AU17099;ES;A;25042013;22102015.0;36;HC;12.0
BERLINE;ME63045;GO;A;12042013;31072014.0;36;Q;9.0
CABRIOLET;BM18230;ES;A;1092004;1032006.0;35;R;11.0
BERLINE;OP37028;ES;S;14122015;22112017.0;29;I;
4x4-SUV;NA35005;GO;A;1032005;1072006.0;33;Q;12.0
BERLINE;CI34046;ES;M;1996;1997.0;32;J;7.0
MONOSPACE;RE67175;ES;A;4092006;1042009.0;32;M;9.0
BERLINE;RE66542;ES;M;19122005;8012008.0;32;L;8.0
BERLINE;CI43130;ES;M;3112008;1042010.0;27;G;4.0
BERLINE;FI19317;ES;M;1072017;15052018.0;27;G;4.0
LUDOSPACE;RE77172;GO;S;4042017;;30;L;6.0
BERLINE;FI32003;GO;M;1996;1996.0;28;G;7.0
BERLINE;HD21181;GO;S;27072018;;32;L;6.0
BERLINE;PE18017;GO;M;1993;1994.0;27;F;4.0
BERLINE;ME49324;GO;M;3012015;3072015.0;31;M;5.0
BERLINE;NA05112;ES;M;1012003;1072009.0;29;F;6.0
MONOSPACE;CI41055;GO;M;2022009;2012010.0;31;L;6.0
AUTRE;PE49056;GO;M;4052015;2072018.0;30;J;5.0
BERLINE;OP16198;ES;M;1999;1999.0;33;K;7.0
BERLINE;IF10050;ES;S;1022018;;34;P;8.0
PICK-UP;IS03006;GO;A;1032004;1102006.0;32;N;12.0
LUDOSPACE;RE77100;GO;M;3062013;3062014.0;30;K;6.0
BERLINE;CV11007;GO;M;1062007;15072008.0;32;J;7.0
LUDOSPACE;VW01110;GO;M;4062010;28072010.0;31;K;7.0
BERLINE;MZ17099;ES;M;1992;1995.0;35;M;14.0
BERLINE;BM70530;GO;A;1072015;1052017.0;36;P;10.0
BERLINE;FI09027;ES;M;1991;1992.0;29;E;7.0
BERLINE;NA05372;GO;M;1032017;;30;I;4.0
BERLINE;PE30100;ES;M;11092000;2122002.0;32;H;6.0
BERLINE;CI04175;GO;M;1995;1997.0;27;D;4.0
BERLINE;PE37295;ES;A;5072010;28022011.0;32;J;7.0
MONOSPACE;SE14034;GO;S;1052008;1022009.0;32;L;6.0
BERLINE;RE71298;GO;M;9032010;31082011.0;28;H;4.0
LUDOSPACE;RE77078;GO;M;28022013;1012014.0;30;J;5.0
BERLINE;OP16297;ES;A;1122000;1122000.0;36;M;12.0
BERLINE;VW49040;GO;S;5112012;17012017.0;34;M;8.0
BERLINE;OP09249;ES;M;1987;1990.0;30;G;7.0
AUTRE;AU35120;ES;A;23092014;4122014.0;38;S;18.0
COUPE;ME54041;ES;A;1082014;31122017.0;40;U;22.0
CABRIOLET;MN01141;ES;M;23032010;1082010.0;32;L;7.0
BERLINE;VW44031;GO;M;1102008;26042012.0;33;M;7.0
BERLINE;FO21277;ES;M;11012001;1032003.0;34;K;9.0
BERLINE;VW45197;ES;M;1042013;6032014.0;28;G;4.0
BERLINE;FO08890;ES;A;27062017;;30;I;5.0
BERLINE;BM58085;ES;M;27032007;1092011.0;35;N;10.0
BERLINE;BM23081;ES;A;10032004;1092004.0;35;Q;11.0
AUTRE;NA48141;GO;M;1092016;;33;P;8.0
BERLINE;VW49440;ES;S;1102015;17012017.0;32;L;6.0
BERLINE;RE51189;GO;M;2000;2000.0;32;L;6.0
BERLINE;RE50024;ES;M;1997;1998.0;27;E;5.0
BERLINE;OP02144;ES;M;1988;1989.0;32;J;10.0
BERLINE;DC01046;GO;M;2102008;5012010.0;28;E;4.0
BERLINE;AR28062;ES;M;2042009;1062010.0;36;N;12.0
BERLINE;BM59321;ES;A;1092007;16092008.0;34;O;8.0
CABRIOLET;NA05248;ES;M;22112005;1082008.0;29;I;6.0
BERLINE;BM69482;ES;A;1032015;1072016.0;35;O;10.0
BERLINE;FI19232;ES;M;1072016;;27;H;4.0
BERLINE;MI11026;ES;M;1012002;1012002.0;31;I;7.0
CABRIOLET;RE53331;ES;A;1999;2000.0;31;L;7.0
BERLINE;AR25040;ES;M;5072003;1072004.0;31;I;7.0
BERLINE;BM59554;GO;A;18032008;16092008.0;36;Q;12.0
COUPE;BM17201;ES;M;8022003;1092003.0;34;N;9.0
BERLINE;FO07359;ES;M;1994;1994.0;27;E;5.0
BERLINE;SK07142;ES;M;1042007;1012009.0;31;H;7.0
BERLINE;VW11059;GO;M;1985;1985.0;30;I;5.0
BERLINE;HD24022;GO;M;1072010;7052012.0;28;H;4.0
BERLINE;OP17452;GO;M;20072005;2042009.0;30;J;5.0
BERLINE;OP06232;ES;A;1994;1995.0;27;G;7.0
BERLINE;VW11016;ES;M;1981;9999.0;28;A;7.0
BERLINE;AN04022;ES;M;1986;1988.0;28;E;5.0
BERLINE;FO07296;ES;M;1992;1992.0;30;F;7.0
CABRIOLET;BM73489;GO;M;1062017;;33;P;8.0
CABRIOLET;AU19439;ES;M;7122009;6122010.0;36;Q;12.0
COUPE;BM32010;ES;A;1983;1988.0;37;R;20.0
COUPE;BM59443;ES;M;1092007;30092008.0;37;R;16.0
BERLINE;CI53046;GO;S;1102010;1062012.0;32;L;6.0
BERLINE;HO03195;ES;A;1102009;18112011.0;32;K;8.0
MONOSPACE;PE43176;ES;A;29062015;1022017.0;33;N;9.0
BERLINE;RE07703;GO;M;1092004;18072005.0;28;G;4.0
BERLINE;FI19022;ES;S;2012009;1062011.0;30;H;6.0
MONOSPACE;VW34137;ES;M;1082006;1082006.0;33;M;8.0
BERLINE;SB03069;ES;M;1072004;1072004.0;36;P;12.0
BERLINE;RE63057;GO;M;10072006;5012010.0;34;R;9.0
BERLINE;PE32298;ES;M;28022005;4042005.0;29;I;6.0
BERLINE;AR01014;ES;M;1983;1984.0;29;G;6.0
BERLINE;PE28340;GO;M;1042003;1122003.0;33;M;8.0
MONOSPACE;VW50077;ES;S;1012016;20012017.0;32;L;6.0
BERLINE;AU17070;ES;A;24042008;7122009.0;38;HC;18.0
LUDOSPACE;VW01042;GO;M;1092005;4062010.0;29;J;5.0
BREAK;VW11173;ES;A;1991;1992.0;30;J;11.0
BERLINE;NA05139;GO;M;1012003;23092004.0;28;H;4.0
BERLINE;AU37337;GO;M;2012017;28062018.0;34;R;10.0
CABRIOLET;AU49201;ES;S;27042017;13092018.0;34;P;8.0
COUPE;ME31004;ES;A;1987;1988.0;35;HC;40.0
BERLINE;RE51099;ES;M;1998;1998.0;33;L;9.0
BERLINE;BM64112;ES;A;1072014;1072015.0;40;HC;21.0
BERLINE;HD07006;ES;M;1999;1042000.0;26;C;4.0
BERLINE;VO15019;ES;M;1994;1994.0;29;I;7.0
BERLINE;OP09088;ES;M;1983;1984.0;31;I;8.0
CABRIOLET;BM71350;ES;A;1032016;1032017.0;39;T;22.0
MONOSPACE;RE10010;GO;M;1986;1991.0;30;N;6.0
MONOSPACE;ME56006;GO;A;17012006;17092007.0;37;S;15.0
BERLINE;RE30112;ES;A;1993;1994.0;30;I;10.0
BERLINE;JA03001;ES;A;1980;1982.0;34;Q;27.0
BERLINE;VO25091;ES;M;2000;2052000.0;32;K;7.0
BERLINE;SK08050;GO;M;1012005;1012005.0;32;M;6.0
MONOSPACE;RE70276;GO;M;5072011;31082011.0;28;F;4.0
BERLINE;DH01002;ES;M;1993;1994.0;29;F;7.0
CABRIOLET;PE37122;ES;M;2072007;5072010.0;33;L;9.0
BERLINE;MZ30051;ES;M;1032009;15122009.0;29;I;4.0
BERLINE;SE02270;GO;M;1998;1998.0;28;F;6.0
BERLINE;RO21001;ES;M;1994;1995.0;33;J;9.0
4x4-SUV;TO12037;GO;M;1994;1994.0;28;L;10.0
LUDOSPACE;RE55170;GO;M;18072005;4092006.0;28;I;5.0
BERLINE;ME72061;GO;A;6102016;2052018.0;37;S;10.0
BERLINE;CI48148;ES;M;4012016;1042016.0;27;E;4.0
MONOSPACE;MI16004;ES;M;1062005;2012006.0;33;O;11.0
BERLINE;CI40254;ES;A;2022002;24052004.0;33;K;9.0
BERLINE;AU15012;ES;A;1995;1996.0;32;M;11.0
MONOSPACE;SE13018;GO;S;7112005;1012008.0;33;M;8.0
COUPE;AU31206;ES;V;8122011;23042015.0;35;Q;9.0
CABRIOLET;VW02057;ES;S;25042013;1112014.0;35;N;13.0
BERLINE;FO28516;GO;M;14012013;19082013.0;34;L;7.0
BERLINE;ME66196;ES;M;14042015;16052018.0;34;O;7.0
BERLINE;SE02360;ES;M;8092000;2102000.0;28;E;5.0
MONOSPACE;BM73236;ES;A;1112015;1022018.0;33;P;5.0
COUPE;TO04014;ES;M;1990;1994.0;35;M;10.0
PICK-UP;FO30057;GO;A;30052016;;34;O;11.0
BERLINE;VW35131;GO;S;1122004;24042008.0;31;M;6.0
BERLINE;RE07355;ES;M;1999;1999.0;28;E;4.0
BERLINE;FO28276;GO;M;17072006;1122007.0;33;L;8.0
BERLINE;BM16008;ES;A;1984;1985.0;30;I;9.0
MONOSPACE;RE65139;GO;A;28092010;4072012.0;34;R;11.0
MONOSPACE;DC04004;GO;M;14032012;5112013.0;30;H;5.0
BERLINE;OP35003;EL;V;7112011;1082015.0;30;Q;3.0
BERLINE;OP09134;ES;M;1987;1987.0;28;F;5.0
BERLINE;ME74006;GO;S;2052018;;32;M;6.0
BERLINE;AU19866;ES;S;19052016;4102017.0;32;M;6.0
BERLINE;BM68194;ES;A;14062017;1062018.0;40;U;22.0
BERLINE;BM17245;ES;M;1032004;1092004.0;34;N;9.0
BERLINE;FO07002;ES;M;1982;1982.0;26;E;4.0
BERLINE;OP17312;ES;M;23072001;5052003.0;33;J;8.0
BERLINE;CI04111;ES;M;1993;1993.0;28;D;5.0
BERLINE;PE37089;ES;M;2072007;2032009.0;32;J;7.0
BERLINE;OP06802;GO;M;1092017;11122017.0;30;J;5.0
MONOSPACE;VW36139;GO;M;19072010;24042014.0;33;M;7.0
BERLINE;BM70744;GO;M;1072015;1112016.0;36;R;10.0
BERLINE;ME39090;ES;A;1996;1997.0;38;T;18.0
BERLINE;FI26125;ES;M;1998;1998.0;30;E;6.0
FOURGONNETTE;FI03079;GO;M;1092016;;28;I;5.0
BERLINE;CI28054;ES;A;1993;1994.0;34;O;9.0
BREAK;VW11103;ES;M;1990;1990.0;29;G;7.0
BERLINE;OP34124;ES;M;1082011;1122011.0;33;M;8.0
CABRIOLET;PO09016;ES;A;20112008;6042009.0;40;U;21.0
BERLINE;VW35174;ES;S;1122005;1092008.0;38;P;17.0
BERLINE;VO22127;ES;A;1997;1997.0;35;P;11.0
BERLINE;RE51098;ES;M;1998;1998.0;33;K;9.0
BERLINE;SB03052;ES;M;1092001;1072003.0;35;P;10.0
MONOSPACE;LA19029;GO;S;1082006;1012008.0;29;L;5.0
BERLINE;SE08051;ES;M;1998;1998.0;31;H;7.0
CABRIOLET;ME41021;ES;A;1032001;1032001.0;37;HC;16.0
MONOSPACE;CI70048;ES;A;3042018;3092018.0;33;M;7.0
BERLINE;AU15152;GO;M;1998;1998.0;35;P;7.0
CABRIOLET;BM73105;ES;A;1112014;1072016.0;35;O;10.0
BERLINE;BM64029;ES;A;22092009;7022012.0;41;HC;31.0
CABRIOLET;FO46016;ES;B;4122017;;41;R;36.0
COUPE;RE53462;ES;A;3092001;3092001.0;31;J;7.0
BERLINE;DH10011;ES;M;1012004;1012004.0;30;F;6.0
BERLINE;KA14067;ES;A;1042017;11062018.0;28;G;5.0
BERLINE;VW11722;ES;S;1052009;29042010.0;34;N;9.0
MONOSPACE;CI64110;GO;M;1102014;4012016.0;34;M;7.0
AUTRE;AU18478;ES;A;1062004;1062004.0;37;Q;15.0
BERLINE;BM59339;ES;M;1092007;16092008.0;37;P;13.0
BERLINE;RE71082;ES;M;16092005;19122005.0;29;F;5.0
BERLINE;AR17016;ES;M;1996;1997.0;34;L;10.0
BERLINE;VO25247;ES;A;1072007;15042011.0;37;P;15.0
BERLINE;SE02590;ES;M;5062008;1052010.0;31;H;6.0
MONOSPACE;RE58013;ES;A;2000;2000.0;31;K;7.0
MONOSPACE;RE65128;GO;M;7042010;28092010.0;35;R;11.0
BERLINE;TO34018;GO;M;1032007;18022010.0;30;J;5.0
BERLINE;MN01713;ES;M;1022018;;33;L;7.0
MONOSPACE;RE57025;ES;M;2000;2042002.0;33;O;9.0
LUDOSPACE;PE29113;ES;M;1072004;30052005.0;30;H;7.0
MONOSPACE;RE69219;ES;M;12092007;2102008.0;33;L;9.0
BERLINE;VW45388;GO;M;1022017;1102017.0;29;I;4.0
COUPE;VW14017;ES;M;1984;1984.0;30;H;7.0
BERLINE;RE71370;GO;M;28092010;4012011.0;29;H;4.0
MONOSPACE;VW36014;ES;M;16032005;1082005.0;29;J;6.0
BERLINE;VO29068;ES;A;1998;1998.0;38;S;10.0
BERLINE;VW31087;ES;S;1082012;31122014.0;33;L;9.0
BERLINE;AU37161;ES;M;25042013;17092015.0;38;P;13.0
BERLINE;SE02104;ES;M;1993;1993.0;28;C;5.0
BERLINE;BM38023;ES;M;1988;1988.0;37;T;20.0
BERLINE;SE12437;ES;M;3072015;1102016.0;32;J;6.0
PICK-UP;VW46029;GO;M;1012013;5082016.0;34;P;7.0
BERLINE;IF02013;ES;M;1122008;1032011.0;39;Q;23.0
BERLINE;AU06020;ES;M;1981;1982.0;32;J;9.0
BERLINE;RE88153;ES;M;2052018;;30;I;5.0
CABRIOLET;ME72110;ES;A;16062017;;38;S;15.0
BERLINE;LA18131;ES;S;1092014;1092015.0;29;J;4.0
BERLINE;NA05253;ES;M;1072006;1072006.0;27;F;5.0
BERLINE;PE18225;ES;M;2000;2000.0;27;C;4.0
PICK-UP;VW46041;GO;A;26092016;;34;P;10.0
BERLINE;AU15007;GO;A;1995;1996.0;31;N;5.0
BERLINE;SE04012;ES;M;1990;1990.0;25;A;4.0
BERLINE;SE02523;GO;M;1072007;1052008.0;30;H;4.0
BERLINE;BM66206;ES;A;1092011;1112012.0;36;R;10.0
BERLINE;PE10007;ES;M;1990;1991.0;27;E;4.0
BERLINE;AU18641;ES;V;3012005;15052008.0;38;Q;17.0
BERLINE;AR13028;ES;M;1996;1996.0;37;O;14.0
BERLINE;SE08043;GO;M;1998;1999.0;30;G;5.0
LUDOSPACE;RE55172;ES;A;18072005;4092006.0;29;I;7.0
BERLINE;CI38148;GO;M;2112001;28122002.0;28;F;4.0
BERLINE;ME38144;ES;A;1997;1997.0;37;Q;16.0
COUPE;BM67495;ES;A;1092011;1072013.0;38;T;17.0
BERLINE;RE92055;ES;M;6032018;;27;G;4.0
BERLINE;VW31006;ES;M;1112001;1112001.0;34;M;11.0
BERLINE;FO08413;ES;M;2000;1042000.0;30;H;6.0
BERLINE;OP09109;GO;M;1987;1988.0;28;G;5.0
BERLINE;OP06801;GO;S;1092017;22112017.0;30;J;5.0
BERLINE;RE42134;ES;M;1987;1990.0;30;G;7.0
BERLINE;AU36137;ES;M;7122009;26042010.0;35;Q;10.0
BERLINE;OP06190;GO;M;1992;1993.0;28;G;4.0
MONOSPACE;VW50101;GO;S;3112016;1012018.0;32;M;6.0
BERLINE;BM70901;GO;A;1052017;1102017.0;34;O;7.0
BERLINE;PE24209;GO;M;1998;1999.0;30;K;6.0
MONOSPACE;CI56008;GO;M;1022009;1102010.0;30;K;5.0
BERLINE;PE34154;GO;A;2012006;2052007.0;33;N;9.0
BERLINE;SK08002;GO;M;1062002;1012004.0;34;L;7.0
BERLINE;CI53005;ES;M;12042008;1102009.0;33;L;9.0
BERLINE;AU19958;ES;M;27042017;4102017.0;34;N;8.0
BERLINE;AU50010;GO;A;15062018;;38;T;13.0
BREAK;AU15042;ES;A;1995;1996.0;34;P;15.0
BERLINE;OP06393;GO;M;20082001;7012002.0;28;F;4.0
MONOSPACE;SE13102;GO;M;1052009;11052010.0;34;M;9.0
BERLINE;KA16035;GO;M;1022008;1032010.0;32;J;6.0
BERLINE;VW23023;ES;M;1996;1997.0;30;H;7.0
BERLINE;RE66578;ES;M;19122005;10072006.0;34;L;10.0
BERLINE;PE45183;GO;A;2112015;3092018.0;33;N;6.0
COUPE;HO01054;ES;M;1995;1996.0;33;L;10.0
BERLINE;FI08004;ES;M;1990;1992.0;30;F;7.0
CABRIOLET;LR09112;ES;A;9112015;1062018.0;35;R;15.0
BERLINE;TO19024;ES;M;1998;1998.0;29;F;6.0
MONOSPACE;RE97017;GO;M;13102016;2102018.0;32;M;7.0
BERLINE;CI04187;GO;M;1996;1996.0;27;E;4.0
BERLINE;SE08088;ES;M;2000;2000.0;28;F;5.0
BERLINE;OP16397;GO;M;8032004;1022005.0;32;M;7.0
BERLINE;ME39153;GO;A;1997;1998.0;33;Q;12.0
BERLINE;LA02014;ES;M;1993;1994.0;32;K;9.0
BERLINE;AU19218;GO;S;1062005;1062006.0;33;O;8.0
BERLINE;PE24285;ES;M;1999;1999.0;30;H;6.0
BERLINE;BM58403;GO;A;1102010;2072012.0;35;N;10.0
BERLINE;VO33359;GO;A;19032015;1042017.0;34;O;7.0
MONOSPACE;SE10147;GO;M;29042013;4102013.0;33;O;8.0
BERLINE;VW11763;GO;S;15112010;2102014.0;34;N;8.0
BERLINE;BM70731;GO;A;1072015;1062016.0;36;Q;10.0
BERLINE;SK12001;ES;M;5112012;3032015.0;29;G;5.0
BERLINE;VO15043;ES;A;1995;1995.0;30;I;7.0
BERLINE;LR09032;GO;M;1122011;1092015.0;32;P;8.0
FOURGONNETTE;VW26002;GO;M;1998;1998.0;32;M;8.0
CABRIOLET;BM53069;ES;S;1092011;1032013.0;39;S;21.0
BERLINE;FO28455;ES;M;3022012;19082013.0;32;J;6.0
BERLINE;RE66602;ES;M;19122005;8012008.0;33;K;8.0
FOURGONNETTE;FO07357;GO;M;1994;1997.0;28;F;7.0
BERLINE;VW49422;E8;M;10072015;17012017.0;32;L;6.0
MONOSPACE;KA11047;GO;M;22042013;;31;M;6.0
LUDOSPACE;VW01068;GO;M;1022009;4062010.0;30;L;7.0
BERLINE;AU19157;ES;S;3012005;3012005.0;36;O;12.0
BERLINE;VW45080;GO;M;15062010;1112013.0;30;J;5.0
MONOSPACE;HD27002;ES;M;1112010;28032014.0;29;I;5.0
BERLINE;AU33142;GO;M;8122008;25042013.0;34;O;8.0
MONOSPACE;VW50100;GO;M;3112016;1012018.0;32;M;6.0
BERLINE;SK06654;ES;M;1012017;;32;K;6.0
BERLINE;AU19876;ES;S;19052016;27042017.0;34;M;7.0
AUTRE;HO12083;ES;M;5112012;;32;M;9.0
BERLINE;AU19326;ES;S;24042008;13062012.0;32;M;7.0
MONOSPACE;RE81460;GO;M;1072015;2112016.0;31;L;5.0
BERLINE;CI43029;ES;M;2092002;3112008.0;27;F;4.0
CABRIOLET;RE05002;ES;M;1964;1968.0;26;A;6.0
BERLINE;MN01587;ES;A;1102017;;31;I;5.0
BERLINE;VO25071;ES;A;1999;10012000.0;32;N;8.0
MONOSPACE;PE43043;GO;M;4102010;5092011.0;31;M;6.0
BERLINE;ME38046;GO;A;1994;1996.0;30;N;10.0
BERLINE;ME49373;GO;M;3072015;1062018.0;30;M;4.0
BREAK;CI34040;ES;M;1996;1997.0;31;J;7.0
BERLINE;OP06104;ES;M;1983;1985.0;27;C;6.0
BERLINE;FI04198;ES;M;1072014;;28;E;4.0
MONOSPACE;VW36016;ES;M;16032005;1082005.0;29;J;5.0
BERLINE;FI10103;ES;M;1993;1993.0;26;C;4.0
LUDOSPACE;FI39044;GO;M;10092003;10092003.0;27;I;6.0
BERLINE;BM18118;ES;M;1072000;17072000.0;36;O;11.0
CABRIOLET;CI45023;ES;M;1102008;1102010.0;28;J;5.0
BERLINE;BM70136;ES;M;2072012;1032015.0;36;P;11.0
BERLINE;OP17662;GO;A;9012012;9032015.0;34;M;9.0
BERLINE;RE74034;ES;M;2062008;2062009.0;36;N;13.0
BERLINE;HD01008;ES;M;1995;1997.0;30;E;6.0
BERLINE;SK08358;GO;S;1062015;;37;P;10.0
CABRIOLET;PE37084;ES;M;8012007;2032009.0;33;K;9.0
BERLINE;PE30341;ES;A;1042004;30052005.0;31;I;7.0
BERLINE;OP17535;GO;M;2012009;1012010.0;31;K;6.0
BERLINE;SK12079;GO;M;1052015;1012016.0;30;J;4.0
BERLINE;RE51122;ES;M;1998;1998.0;33;N;9.0
BERLINE;SK08335;GO;M;1062015;7062018.0;33;L;6.0
MONOSPACE;VW34196;GO;M;25022008;1082008.0;33;M;8.0
BERLINE;SK06757;GO;S;7062018;;34;M;7.0
AUTRE;FO15372;GO;M;1072003;15122005.0;32;M;7.0
BERLINE;BM27233;ES;A;1092007;1012010.0;39;S;17.0
BERLINE;SE15024;ES;M;1052009;1102010.0;31;K;7.0
LUDOSPACE;SE09005;GO;M;1996;1997.0;28;F;6.0
BERLINE;HO01145;GO;M;2062008;2012015.0;34;O;8.0
MONOSPACE;FI49089;ES;M;1012016;1062016.0;30;I;6.0
BERLINE;VW12065;ES;M;1984;1984.0;29;F;6.0
FOURGONNETTE;CI09005;GO;M;1986;1989.0;29;L;10.0
MONOSPACE;NA45004;ES;V;18012010;1122011.0;29;J;7.0
BERLINE;PE13034;GO;M;1991;1992.0;29;J;7.0
COUPE;PO08004;ES;A;1992;1993.0;39;T;17.0
MONOSPACE;LA19036;ES;M;1082006;1082006.0;29;H;5.0
BERLINE;LA15005;ES;M;2000;2000.0;33;K;8.0
BERLINE;SZ01134;ES;M;20092013;24042017.0;29;G;5.0
BERLINE;RE07562;ES;M;15102003;15102003.0;29;G;5.0
PICK-UP;TO11039;GO;M;4082010;21022017.0;32;N;10.0
COUPE;RE80028;GO;M;20112008;5012010.0;30;K;5.0
CABRIOLET;MN01468;ES;M;1122015;1022018.0;33;M;7.0
AUTRE;ME39173;GO;A;1997;1999.0;36;R;12.0
