Carrosserie;Code_vehicule;Alimentation;Boite_vitesse;Date_debut_comerc;Date_fin_comerc;Groupe_vehicule;Classe_vehicule;Puissance_vehicule
4x4-SUV;NA20038;GO;M;1999;1071999.0;31;L;10.0
BERLINE;PE30009;ES;M;1999;1999.0;29;F;
DIVERS;PE21001;ES;M;1949;1960.0;23;A;7.0
BERLINE;VW49637;GO;M;1012017;17042018.0;34;M;8.0
BERLINE;VW45352;GO;S;1072015;1102017.0;30;K;4.0
FOURGONNETTE;PE29066;GO;M;2122002;4092006.0;30;I;8.0
BREAK;ME39037;ES;A;1994;1994.0;37;T;18.0
BERLINE;SB03128;ES;M;28062010;1102011.0;37;P;14.0
4x4-SUV;MI05019;GO;M;1990;1990.0;29;M;10.0
LIMOUSINE;CI08060;GO;M;1984;1985.0;32;M;7.0
LUDOSPACE;PE29092;ES;M;1072003;30052005.0;30;I;7.0
COUPE;FO27005;ES;M;2000;12092000.0;32;K;8.0
BERLINE;AU19733;ES;S;24042014;19052016.0;34;O;7.0
FOURGONNETTE;CI54170;GO;M;1072014;1092016.0;29;K;
BREAK;VW11161;GO;M;1991;1992.0;29;L;5.0
BERLINE;SE04004;ES;M;1987;1987.0;26;A;4.0
4x4-SUV;HD09010;GO;M;1102000;1112001.0;29;L;9.0
BERLINE;SE08014;ES;M;1996;1996.0;29;G;7.0
BERLINE;SE02317;ES;M;2000;2102000.0;26;E;4.0
MONOSPACE;RE64066;GO;M;31032006;11012007.0;33;O;9.0
BERLINE;AU37279;ES;V;28052015;4102016.0;35;Q;10.0
4x4-SUV;LR04002;ES;M;1984;1987.0;30;I;11.0
BERLINE;FI19142;ES;S;17022014;1072014.0;28;J;4.0
FOURGONNETTE;ME07002;GO;M;1983;1986.0;30;L;12.0
4x4-SUV;JP02025;ES;M;1999;1999.0;31;K;9.0
BERLINE;ME49189;ES;M;4042008;15062012.0;32;M;8.0
MONOSPACE;TO37050;GO;M;6042011;28112012.0;32;M;7.0
LIMOUSINE;ME39031;ES;A;1994;1994.0;36;U;23.0
BERLINE;CI59016;ES;M;3102010;1012015.0;30;I;6.0
BERLINE;BM70844;GO;A;1062016;1062018.0;39;Q;15.0
BERLINE;AU18087;ES;M;1997;1999.0;37;P;13.0
FOURGONNETTE;FO15315;GO;M;2000;2042002.0;33;N;8.0
BERLINE;CH12005;ES;A;2000;2003.0;31;M;10.0
MONOSPACE;RE70198;ES;M;5012009;1092010.0;30;H;6.0
BERLINE;DS03051;GO;M;1042016;3042017.0;31;L;6.0
4x4-SUV;TO12042;GO;M;1994;1994.0;31;M;12.0
BERLINE;NA05222;GO;M;1092005;1092005.0;29;H;4.0
BREAK;HO11001;ES;A;1995;1997.0;33;N;11.0
MONOSPACE;FI49110;ES;M;4042017;1092017.0;29;I;6.0
BERLINE;CI07151;ES;M;1993;1993.0;32;J;9.0
BERLINE;CI08029;ES;A;1982;9999.0;32;J;12.0
BERLINE;AR22018;GO;M;26102000;26032001.0;32;L;7.0
FOURGONNETTE;IU01028;GO;M;1996;1999.0;31;P;8.0
FOURGONNETTE;HD05001;GO;M;1994;1994.0;29;F;10.0
MONOSPACE;BM73282;ES;A;1032016;1032017.0;33;O;7.0
FOURGONNETTE;ME37062;GO;M;2000;2004.0;33;M;7.0
BERLINE;ME38883;GO;M;16042010;8042014.0;34;N;6.0
COUPE;BM19072;ES;A;1999;1042000.0;36;P;12.0
BERLINE;RE32069;ES;A;1992;1992.0;30;I;9.0
BERLINE;MA01002;ES;M;1994;1994.0;24;A;4.0
4x4-SUV;LR02031;GO;M;1994;1011994.0;30;Q;10.0
AUTRE;BM66571;GO;A;1072013;1022017.0;38;S;15.0
BERLINE;VW35168;GO;M;6012006;6012006.0;30;J;5.0
FOURGONNETTE;VW01289;GO;S;1072015;7102015.0;32;N;7.0
BERLINE;DC01043;ES;M;2102008;1042009.0;28;C;5.0
4x4-SUV;SZ02052;GO;M;1092003;1072004.0;29;J;6.0
BREAK;BM25075;GO;M;1994;1994.0;32;O;8.0
BERLINE;VW48145;ES;M;14032018;;27;F;3.0
BERLINE;RE51165;GO;M;1999;1999.0;31;K;6.0
BREAK;CI28027;GO;M;1992;1994.0;30;M;7.0
CABRIOLET;ME10034;ES;M;1991;1992.0;30;Q;13.0
MONOSPACE;RE81480;ES;M;1072015;2112016.0;32;M;7.0
BERLINE;BM66861;GO;A;1022018;;39;T;16.0
FOURGONNETTE;CI36027;GO;M;1994;2012001.0;31;N;8.0
MONOSPACE;RE58081;ES;M;3092001;15112001.0;32;L;9.0
FOURGONNETTE;FO15320;GO;M;2000;2042002.0;33;N;8.0
BERLINE;DS02059;GO;M;1072016;1062018.0;31;M;6.0
CABRIOLET;AU31187;ES;V;5082011;25042013.0;36;R;12.0
BERLINE;FI45016;ES;M;1102008;1072010.0;33;K;9.0
BERLINE;LX01051;ES;A;13062014;6112015.0;36;R;13.0
BERLINE;FO28249;ES;A;15122005;1122007.0;33;L;9.0
BERLINE;MN01701;ES;M;1022018;;31;L;5.0
BERLINE;SE17260;GO;M;5012018;;31;J;6.0
BERLINE;ME15065;GO;A;1988;1992.0;34;R;11.0
BERLINE;AU28557;GO;S;27042017;5092018.0;34;N;8.0
LUDOSPACE;CI71018;GO;M;10092018;;32;L;7.0
BERLINE;RE07457;ES;M;27112000;15022001.0;31;F;6.0
BERLINE;AU36005;ES;M;15092008;1042011.0;36;Q;12.0
FOURGONNETTE;PE27029;GO;M;2000;21032000.0;30;K;8.0
BERLINE;VO33106;ES;A;26042004;10042009.0;33;N;10.0
BERLINE;LA03103;GO;M;1042011;1092014.0;35;N;11.0
FOURGONNETTE;FO15167;GO;M;1992;1992.0;32;L;10.0
BREAK;ME39075;ES;M;1995;1995.0;37;T;18.0
AUTRE;SK10042;GO;M;7112011;1052015.0;32;M;8.0
BERLINE;KA16185;ES;M;1092015;2072018.0;31;K;6.0
4x4-SUV;JP01060;GO;A;23032011;2012012.0;32;P;13.0
BERLINE;RE96009;GO;M;1122015;;31;L;5.0
BERLINE;SE08184;ES;M;1032005;7112005.0;30;E;5.0
BERLINE;AU19021;ES;A;1999;1092001.0;34;M;10.0
CABRIOLET;MZ04048;ES;M;2012017;1062018.0;32;M;7.0
BERLINE;ME66031;ES;A;8042014;14042015.0;38;Q;11.0
BREAK;VO22033;ES;M;1995;1996.0;33;M;9.0
BERLINE;BM25304;ES;A;1092007;1012010.0;36;S;14.0
PICK-UP;IS03004;GO;M;1032004;1102006.0;31;M;10.0
BERLINE;OP06361;ES;M;1102000;5052003.0;29;F;5.0
BERLINE;MZ30038;GO;M;1032008;1012009.0;28;H;4.0
BERLINE;AU39190;ES;M;24112014;;32;K;6.0
FOURGONNETTE;CI36074;GO;M;2000;1062000.0;33;P;8.0
4x4-SUV;NA06018;GO;M;1994;1995.0;31;O;11.0
MONOSPACE;LA19018;GO;S;1102005;1072008.0;30;K;5.0
4x4-SUV;JP01068;ES;A;2012012;;34;P;20.0
BERLINE;VO22085;ES;A;1995;1996.0;33;O;12.0
BERLINE;BM17184;ES;M;8022003;1092003.0;34;N;9.0
4x4-SUV;LR02147;ES;A;5012017;1062017.0;37;T;24.0
4x4-SUV;NA35003;GO;M;1032005;1072006.0;33;Q;12.0
BERLINE;AR20015;ES;M;1997;1998.0;34;J;9.0
FOURGONNETTE;RE78149;GO;M;3062013;3062014.0;31;L;5.0
FOURGONNETTE;PE41001;ES;M;15052008;2032009.0;29;H;9.0
BERLINE;PE39504;GO;A;15052017;;34;N;7.0
BERLINE;RO16015;ES;A;1989;1989.0;35;O;18.0
MONOSPACE;SG05012;GO;A;28092006;1092012.0;33;N;11.0
BREAK;SR01004;ES;A;1993;1993.0;33;M;12.0
BREAK;RE29070;GO;M;1984;1984.0;30;J;6.0
BERLINE;FI19084;ES;M;1012011;15062012.0;33;K;9.0
FOURGONNETTE;RE78162;ES;M;3062014;1062016.0;30;I;7.0
MONOSPACE;VW50133;ES;S;1012018;;34;N;8.0
BERLINE;OP13198;GO;M;1997;1998.0;34;M;7.0
PICK-UP;FI52010;GO;M;14062016;;34;N;8.0
BERLINE;TA03004;ES;M;1982;1985.0;26;C;4.0
BERLINE;CI58091;ES;M;2062014;1102014.0;33;K;8.0
